rating,values
0.29877718360071304,"[428, 8, 219, 9, 4, 412, 0.091]"
0.43115519355403753,"[364, 43, 43, 12, 0, 346, 0.527]"
0.6343884932272029,"[169, 27, 218, 10, 1, 651, 0.46]"
0.4576648841354725,"[314, 7, 77, 9, 6, 225, 0.855]"
0.4063636363636365,"[282, 42, 204, 10, 4, 177, 0.549]"
0.4203488072211478,"[315, 17, 150, 9, 11, 376, 0.105]"
0.2859180035650625,"[169, 16, 220, 8, 4, 197, 0.004]"
0.5689847807433502,"[405, 45, 214, 13, 4, 671, 0.027]"
0.5108537459114273,"[360, 14, 108, 12, 6, 309, 0.815]"
0.9342075298438935,"[395, 35, 220, 9, 11, 792, 0.855]"
0.2981443980379146,"[28, 0.6, 29, 0.9, 0.9, 137, 0.535]"
0.5555245941128294,"[413, 10, 77, 9, 8, 629, 0.479]"
0.7044512987012989,"[279, 44, 143, 8, 4, 840, 0.661]"
0.37132620320855625,"[180, 11, 162, 12, 8, 222, 0.461]"
0.5809113106649179,"[264, 7, 81, 10, 0, 795, 0.591]"
0.7143914587285376,"[224, 19, 40, 7, 5, 623, 0.909]"
0.7075479068138028,"[126, 18, 217, 9, 11, 692, 0.451]"
0.2801460595257388,"[5, 0.2, 34, 0.0, 0.1, 99, 0.997]"
0.255842336934774,"[29, 0.1, 32, 0.8, 0.7, 147, 0.329]"
0.36083440836503305,"[26, 0.3, 18, 0.9, 0.4, 97, 0.893]"
0.45224242424242433,"[322, 41, 220, 12, 1, 391, 0.766]"
0.1537646215021781,"[24, 1.0, 13, 0.4, 0.4, 169, 0.108]"
0.6427338247338247,"[259, 19, 64, 10, 7, 592, 0.068]"
0.566971006584452,"[46, 29, 213, 13, 5, 833, 0.011]"
0.5303161936103113,"[158, 15, 42, 8, 3, 650, 0.231]"
0.6151443628834934,"[319, 28, 61, 11, 2, 805, 0.222]"
0.3491868022328549,"[389, 35, 25, 12, 3, 304, 0.061]"
0.4063636363636364,"[292, 42, 103, 12, 7, 117, 0.579]"
0.7803379271437784,"[240, 27, 41, 11, 8, 752, 0.954]"
0.38005799592564304,"[74, 6, 22, 14, 1, 560, 0.391]"
0.7998009112859071,"[339, 9, 201, 9, 10, 739, 0.477]"
0.343939393939394,"[420, 36, 200, 14, 11, 164, 0.123]"
0.6128614382163605,"[278, 32, 37, 14, 4, 772, 0.34]"
0.4583572465643148,"[346, 12, 95, 12, 11, 496, 0.059]"
0.7901948227211386,"[262, 44, 162, 10, 11, 741, 0.491]"
0.5141208027360575,"[358, 6, 123, 7, 4, 627, 0.164]"
0.5910617246288388,"[390, 45, 41, 8, 5, 596, 0.699]"
0.5517575757575758,"[241, 17, 215, 7, 0, 482, 0.292]"
0.6208858632893605,"[398, 8, 119, 12, 5, 619, 0.941]"
0.5776428340342933,"[42, 46, 198, 11, 9, 843, 0.111]"
0.6150615607651782,"[288, 21, 50, 11, 9, 857, 0.094]"
0.4965846702317291,"[409, 16, 137, 14, 11, 178, 0.988]"
0.3623636363636364,"[264, 19, 223, 11, 0, 135, 0.613]"
0.4035757575757576,"[199, 46, 181, 11, 10, 221, 0.225]"
0.5458989898989899,"[118, 20, 168, 7, 11, 288, 0.199]"
0.5210873440285205,"[161, 14, 234, 8, 7, 280, 0.5]"
0.4481973220577872,"[163, 33, 205, 9, 4, 258, 0.38]"
0.6696201620162018,"[246, 26, 211, 12, 9, 606, 0.191]"
0.7091455614075264,"[145, 36, 221, 12, 0, 794, 0.805]"
0.41533565769119024,"[111, 6, 178, 8, 5, 227, 0.089]"
0.7253748119492802,"[430, 30, 143, 9, 10, 846, 0.142]"
0.6549457538346429,"[94, 29, 96, 11, 2, 486, 0.897]"
0.6333560606060608,"[284, 47, 48, 7, 2, 640, 0.402]"
0.5717718360071302,"[182, 16, 201, 9, 10, 442, 0.076]"
0.3126363802955337,"[11, 0.3, 21, 0.2, 0.5, 107, 0.955]"
0.4354285133211309,"[223, 22, 119, 9, 8, 298, 0.394]"
0.6303787878787881,"[223, 16, 159, 11, 2, 408, 0.846]"
0.7364770283479962,"[175, 34, 60, 9, 9, 465, 0.786]"
0.2809768270944742,"[216, 6, 225, 11, 6, 170, 0.304]"
0.5713029364855993,"[201, 12, 55, 9, 0, 475, 0.466]"
0.6194197446731181,"[143, 49, 207, 11, 1, 667, 0.368]"
0.833201414778702,"[306, 22, 118, 8, 8, 634, 0.873]"
0.5603668183605821,"[92, 16, 163, 8, 0, 698, 0.344]"
0.7518862206975415,"[299, 44, 105, 9, 5, 530, 0.928]"
0.1868663876617841,"[4, 0.8, 18, 0.1, 0.8, 92, 0.371]"
0.5749010485124567,"[248, 8, 214, 14, 7, 891, 0.34]"
0.36763636363636365,"[102, 18, 216, 10, 11, 111, 0.124]"
0.3183030303030303,"[187, 45, 73, 13, 5, 107, 0.258]"
0.58592394992395,"[241, 27, 95, 11, 0, 777, 0.209]"
0.5184304343747069,"[88, 7, 155, 7, 9, 285, 0.745]"
0.6495964065433094,"[251, 40, 169, 14, 2, 678, 0.311]"
0.27090909090909093,"[376, 24, 232, 7, 0, 141, 0.202]"
0.5167642154660277,"[345, 45, 53, 9, 0, 607, 0.011]"
0.26085918003565073,"[14, 0.5, 8, 0.1, 0.9, 50, 0.436]"
0.3562424242424243,"[318, 23, 144, 11, 3, 328, 0.172]"
0.756617772603803,"[219, 23, 114, 13, 10, 859, 0.948]"
0.6967631359466222,"[384, 48, 143, 11, 7, 654, 0.436]"
0.7326304590017826,"[161, 18, 99, 9, 11, 544, 0.671]"
0.45427025621017036,"[155, 24, 210, 11, 9, 233, 0.364]"
0.7006220140119862,"[390, 26, 67, 8, 11, 718, 0.287]"
0.38595233650675137,"[343, 32, 193, 13, 1, 487, 0.304]"
0.47889241490884205,"[84, 40, 56, 14, 6, 487, 0.074]"
0.2863814616755794,"[292, 15, 198, 14, 8, 130, 0.04]"
0.2755258467023174,"[258, 9, 93, 13, 2, 205, 0.395]"
